id,category,periods_affected,basis,note,impact_on_comparability,source
N11,Unlabelled re-presentation,Q3 FY2026 onward,business_100,From Q3 FY2026 the cash flow splits 'Amortization of deferred financing costs' out of 'Other' in BOTH the current and the comparative columns. The Q2 filing has no such line. The filings never call this a reclassification.,A naive comparison of 'Other' across the three interim filings is not like-for-like.,"Interim statements docs 4064731, 4064733, 3693795"
N12,Non-IFRS definition change,"FY2026, FY2027",business_100,"The non-IFRS definitions changed twice. Q4 FY2026 DELETED three adjusting items (gain on disposals, net loss from assets disposed, asset impairment) from Adjusted Gross Margin, Adjusted EBITDA and Distributable Cash Flow. Q1 FY2027 ADDED equity settled compensation to Adjusted EBITDA and DCF.",The adjusted measures are not on a constant definition across the series.,"Earnings releases docs 3409150, 3693793"
N13,Non-IFRS definition change,"FY2025, FY2026",business_100,"Distributable Cash Flow carries two definition adjustments: FY2025 maintenance capex was adjusted DOWNWARDS by $5.5m (p.26 prints 26.8, p.17 uses 21.3), first disclosed at Q4 FY2026; and FY2026 EXCLUDES a $19.3m one-time cash lease payment made in Q2 FY2026.",The reported +$17.1m / +7% FY2026-vs-FY2025 DCF growth is NOT like-for-like. Q2 and Q3 FY2026 DCF comparatives are pre-restatement.,"Annual MD&A doc 4064736 pp.17, 26"
N14,Per-share denominator change,"FY2026, FY2027",business_100,The DCF-per-share denominator changed twice: Q3 FY2026 hard-codes '133 million' shares; Q4 FY2026 drops the number; Q1 FY2027 switches to a weighted average. The NCIB began 2026-03-27.,The DCF-per-share series is not on a consistent denominator and should not be treated as one.,"Earnings releases docs 2794952, 3409150, 3693793"
N15,Column basis change,Q2 FY2026 - Q1 FY2027,business_100,The second headline column in the earnings releases changes basis three times: 6M year-to-date (Q2) then LTM (Q3) then fiscal year (Q4) then LTM again (Q1 FY2027).,LTM rows carry period_type=YTD with an explicit warning. Do NOT aggregate them with FY rows.,"Earnings releases docs 2235906/4064732, 2794952, 3409150, 3693793"
N16,Inter-filing discrepancy,"Q3 FY2025, Q4 FY2025",business_100,Two filings report the same prior quarter differently: Q4 FY2025 Adjusted Gross Margin printed 134.1 in the Q2 FY2026 MD&A vs 134.2 in the FY2026 release; Q3 FY2025 113.1 vs 113.0.,"Neither value is overwritten. Both are carried, each qualified by its source document. See canonical/RESTATEMENTS.md.","docs 4064732 p14, 4064736 p21"
N17,Metric trap,All,business_100,"Adjusted EBITDA Margin's denominator is Adjusted Gross Margin, NOT revenue (84% vs 80% for FY2026).",Recomputing this margin against revenue produces a materially different and wrong figure.,Annual MD&A doc 4064736
N18,Segments,All,business_100,There is a SINGLE reportable segment (natural gas storage) per Note 3(i). Note 20 is GEOGRAPHICAL only and splits U.S. / Canada - not Alberta / California. Optimization is not disaggregated geographically.,"No segment analysis is possible. Only Fee-for-Service gross margin is split California / Alberta, and only for full years.","Audited FY2026 statements doc 4064735 pp.17, 39"
N19,Not disclosed,All,business_100,"The audited Business statements contain no EPS, no share counts and no dividends per share - the reporting entity is an LP plus LLC combination. Note 12 Share Capital has no table and no numbers.","Per-share analysis is possible only on the Company basis, and only for the stub period.",Audited FY2026 statements doc 4064735 pp.27
N20,Filing internal inconsistency,FY2026,business_100,"Four unexplained internal inconsistencies, transcribed verbatim and NOT corrected: Term Loan current portion 12.5 (narrative) vs 12.2 (table and balance sheet); deferred financing cost amortisation 7.3 (Note 15) vs 7.4 (cash flow); deferred revenue 0.1/1.2 (Note 13) vs 0.3/1.4 (balance sheet); Note 23 'Lease cash payments' 34.5 reconciles to neither 27.9 nor 35.6 from Note 8.",Small in magnitude but real. Do not assume the filing is internally consistent to the decimal.,"Audited FY2026 statements doc 4064735 notes 8, 13, 15, 23"
N21,Filing caption defect,"FY2025, FY2026",business_100,"The p.34 foreign-exchange sensitivity table labels BOTH of its rows 'CAD - 10% increase', and the first row's sign flips between years ((5.8) vs 3.8).",A genuine defect in the filing's own captions. Transcribed as printed.,Audited FY2026 statements doc 4064735 p34
N22,Disclosure limitation,FY2026,business_100,Capacity is disclosed at the FOUR-ASSET level although the AIF describes SIX facilities: Lodi Storage Facility combines Lodi and Kirby Hills (28.7 Bcf combined) and AECO Hub combines Suffield and Countess (154.0 Bcf combined). Total 279.2 Bcf foots exactly.,A six-row facility capacity table cannot be built from this document. The two combined splits are not disclosed.,AIF doc 3724816
N23,Source substitution,Q2 FY2026,business_100,"The Q2 FY2026 earnings release (doc 2235906) has NO text layer - all 10 pages return empty, and the native PDF is blocked by egress policy. Q2 figures were taken instead from the companion Q2 FY2026 MD&A (doc 4064732) filed the same day.",Those rows carry a 'SUBSTITUTE SOURCE' marker in their note and are separable on source_doc.,"docs 2235906, 4064732"
N24,Guarantee asymmetry,FY2026,both,"The $1,234.4m Term Loan sits in RGSP LP and RGSC at the Business level, allocated approximately 60% RGSP LP / 40% RGSC. The Company is the lead borrower and is jointly and severally liable as a guarantor, while owning 40% of the Business.",Company-basis leverage metrics understate the obligation the Company guarantees. The audited Business statements print no 60/40 split.,AIF doc 3724816 p41; audited statements doc 4064735 note 7
N25,Dividends,FY2026,company,"The AIF dividend table's dates are PAYMENT dates, not quarter ends. Only $0.44 per share was actually paid during FY2026. The $0.2310 quarterly dividend was announced 2026-05-28 while the same page's footnote says declared 2026-05-27.",Dividends paid per the cash flow ($23.4m) is not printed as a line and was NOT back-solved.,AIF doc 3724816 p48; earnings release doc 3409150
N26,Not verifiable,Q2 FY2026,company,"The inaugural dividend's declaration, record and payment dates could not be verified in any available document. The $0.22 amount is corroborated by two other printed sources.",Deliberate blank rather than an assumed date.,"docs 2235906 (no text layer), 2794952"
N27,Not resolved,FY2026,business_100,"The AIF's customer-mix donut yields shares of 36, 28, 20, 8 and 8 per cent, but only 'Producers 8%' pairs unambiguously in the extracted text. The other four pairings require the source PDF image.",Four of five customer-mix slices are unresolved and were left out rather than guessed.,AIF doc 3724816 p22
N28,Presentation,All,both,Blank means not reported in that period. A dash means reported as zero. Growth is blank across any non-comparable boundary. Blue is a hard input exactly as filed; black is a formula in the sheet; green is a formula linking to another sheet; italic blue is a comparative.,Reading a blank as a zero is the most likely way to misuse this workbook.,This workbook
